Id,Habit,Date,Note,Check In Count,Days in Streak,Prop Count,Comment Count,URL
8079169,Read,2013-07-02,,197,1,0,0,https://www.coach.me/c/8079169
8079167,Sleep at least 8 hours,2013-07-02,,164,1,0,0,https://www.coach.me/c/8079167
8079165,Study Stock Investing,2013-07-02,,1,1,0,0,https://www.coach.me/c/8079165
8079163,Go to gym,2013-07-02,,26,1,0,0,https://www.coach.me/c/8079163
8079162,Crunches,2013-07-02,,1,1,0,0,https://www.coach.me/c/8079162
8079159,Pushups,2013-07-02,,1,1,0,0,https://www.coach.me/c/8079159
8078520,Pushups,2013-07-03,,1,2,0,0,https://www.coach.me/c/8078520
8078600,Go to gym,2013-07-03,,26,2,0,0,https://www.coach.me/c/8078600
8078618,Sleep at least 8 hours,2013-07-03,,164,2,0,0,https://www.coach.me/c/8078618
8078647,Crunches,2013-07-03,,1,2,0,0,https://www.coach.me/c/8078647
17732256,Sleep at least 8 hours,2013-12-23,,166,1,0,0,https://www.coach.me/c/17732256
17732227,Pushups,2013-12-23,,3,1,0,0,https://www.coach.me/c/17732227
17732218,Crunches,2013-12-23,,3,1,0,0,https://www.coach.me/c/17732218
17732216,Code Academy,2013-12-23,,1,1,0,0,https://www.coach.me/c/17732216
17780821,Read feedly,2013-12-24,,33,1,0,0,https://www.coach.me/c/17780821
17780820,Learn italian,2013-12-24,,1,1,0,0,https://www.coach.me/c/17780820
17745082,Sleep at least 8 hours,2013-12-24,,167,2,0,0,https://www.coach.me/c/17745082
17746596,Morning Workout,2013-12-24,,201,1,0,0,https://www.coach.me/c/17746596
17746599,Read Bible,2013-12-24,,110,1,0,0,https://www.coach.me/c/17746599
17791288,Read,2013-12-25,,198,1,0,0,https://www.coach.me/c/17791288
17791290,Read Bible,2013-12-25,,111,2,0,0,https://www.coach.me/c/17791290
17794930,Learn italian,2013-12-25,,2,2,0,0,https://www.coach.me/c/17794930
17806552,Read feedly,2013-12-25,,34,2,0,0,https://www.coach.me/c/17806552
